t_index	 term	 df 
11637	session	39
11638	set	232
11639	setback	5
11640	seth	1
11641	setinya	1
11642	settl	33
11643	settlement	8
11644	seven	130
11645	seven-gam	2
11646	seven-pag	1
11647	seven-person	1
11648	seven-stori	1
11649	seven-term	2
11650	seven-wai	1
11651	seven-week	4
11652	seven-year	3
11653	seven-year-long	1
11654	seven-year-old	1
11655	seventeen	16
11656	seventh	30
11657	seventh-seed	1
11658	seventi	1
11659	sever	41
11660	severin	1
11661	severodvinsk	1
11662	severomorsk	4
11663	sew	1
11664	sewag	4
11665	sewart	1
11666	sex	8
11667	sexual	15
11668	seymour	1
11669	sgt	5
11670	shaar	2
11671	shab	2
11672	shabtai	1
11673	shack	7
11674	shade	2
11675	shadow	17
11676	shadowi	8
11677	shaeffer	1
11678	shaft	3
11679	shah	4
11680	shaheen	1
11681	shaher	1
11682	shailesh	1
11683	shajea	1
11684	shake	28
11685	shaken	11
11686	shaki	2
11687	shalikashvili	1
11688	shall	3
11689	shallow	3
11690	shallow-wat	1
11691	sham	2
11692	shambl	3
11693	shame	6
11694	shamshran	1
11695	shane	1
11696	shannon	1
11697	shantytown	5
11698	shape	27
11699	shapeless	1
11700	shapeup	1
11701	shapiro	1
11702	shard	3
11703	share	39
11704	shargel	1
11705	sharm	3
11706	sharon	2
11707	sharp	13
11708	sharpen	2
11709	sharper	1
11710	sharpli	14
11711	shatter	33
11712	shaughnessi	3
11713	shave	1
11714	shavit	1
11715	shaw	3
11716	shawn	3
11717	shea	1
11718	sheaf	1
11719	shear	2
11720	sheath	1
11721	shebeck	1
11722	shebek	1
11723	shed	6
11724	sheehan	2
11725	sheehen	1
11726	sheepish	1
11727	sheepishli	1
11728	sheer	3
11729	sheet	22
11730	sheik	5
11731	sheikh	2
11732	sheila	1
11733	shelf	3
11734	shell	6
11735	shelle	4
11736	shelli	1
11737	shelten	1
11738	shelter	22
11739	shelti	1
11740	shelton	6
11741	shelv	2
11742	shemter	1
11743	shephard	1
11744	shepherd	4
11745	sheriff	14
11746	sherman	1
11747	sherri	3
11748	sheryl	1
11749	shiela	1
11750	shield	8
11751	shift	20
11752	shiit	3
11753	shine	10
11754	shini	2
11755	ship	193
11756	shipboard	1
11757	shipbuild	6
11758	shipman	1
11759	shipmat	13
11760	shipment	1
11761	shipyard	8
11762	shirlei	1
11763	shirt	12
11764	shirtless	2
11765	shiver	1
11766	shkval	7
11767	shlomo	1
11768	shock	43
11769	shoddi	1
11770	shoddili	1
11771	shoe	15
11772	shoe-leath	2
11773	shoeed	1
11774	sholti	1
11775	shook	46
11776	shoot	20
11777	shoot-out	1
11778	shootout	3
11779	shop	53
11780	shopkeep	2
11781	shoplift	2
11782	shopper	1
11783	shore	18
11784	shorelin	1
11785	short	92
11786	short-liv	4
11787	short-sleev	1
11788	short-staf	1
11789	short-term	3
11790	shortag	16
11791	shortchang	2
11792	shortcom	4
11793	shortcut	1
11794	shorter	3
11795	shortest	1
11796	shortfal	2
11797	shorthand	2
11798	shortli	47
11799	shot	76
11800	shotgun	18
11801	shotmak	1
11802	shoulder	16
11803	shouldn	13
11804	shout	28
11805	shouted:	1
11806	shove	5
11807	shovel	12
11808	show	127
11809	showcas	2
11810	showdown	12
11811	shower	7
11812	shown	20
11813	shrank	4
11814	shrapnel	1
11815	shred	5
11816	shreveport	2
11817	shrewd	4
11818	shrill	1
11819	shrine	1
11820	shriner	1
11821	shrink	6
11822	shrunk	1
11823	shukla	2
11824	shuler	1
11825	shultz	3
11826	shun	2
11827	shusaki	3
11828	shut	27
11829	shutdown	1
11830	shutter	2
11831	shuttl	4
11832	shy	5
11833	sibl	8
11834	sicili	2
11835	sick	8
11836	side	3
11837	sidelin	11
11838	sidestep	4
11839	sidewai	1
11840	sidl	7
11841	sidot	1
11842	sieg	9
11843	siemerink	1
11844	sierra	4
11845	siev	11
11846	siewert	24
11847	sifford	16
11848	sift	11
11849	sigh	3
11850	sight	25
11851	sightse	4
11852	sign	133
11853	signal	34
11854	signalman	1
11855	signatur	7
11856	signifi	1
11857	signific	41
11858	significantli	9
11859	sigonella	2
11860	sikh	1
11861	silberl	1
11862	silenc	19
11863	silent	19
11864	sill	1
11865	silli	1
11866	silliman	1
11867	silo	3
11868	silt	1
11869	silva	1
11870	silver	8
11871	silver-tongu	2
11872	silvia	3
11873	silvija	2
11874	simeon	1
11875	simil	1
11876	similar	47
11877	similarli	5
11878	simmer	3
11879	simmon	3
11880	simpl	19
11881	simpler	1
11882	simpli	46
11883	simul	1
11884	simultan	8
11885	sin	3
11886	sincer	1
11887	sindh	2
11888	sing	6
11889	singapor	3
11890	singaporean	1
11891	singer	7
11892	singh	4
11893	singl	50
11894	single-digit	1
11895	single-stori	1
11896	singular	1
11897	singularli	1
11898	sinha	1
11899	sink	32
11900	siobhan	1
11901	sion	1
11902	sip	6
11903	sir	5
11904	sirah	1
11905	siren	1
11906	siriman	1
11907	sister	45
11908	sister-in-law	1
11909	sit	37
11910	sit-in	2
11911	site	76
11912	site:	6
11913	situat	82
11914	six-b	1
11915	six-bunk	1
11916	six-dai	1
11917	six-foot	2
11918	six-hour	2
11919	six-man	1
11920	six-memb	1
11921	six-month	1
11922	six-seat	3
11923	six-stori	1
11924	six-vehicl	1
11925	six-week	5
11926	six-year	3
11927	six-year-long	1
11928	sixteen	3
11929	sixth	32
11930	sixth-seed	3
11931	siyaram	1
11932	sizabl	2
11933	size	19
11934	size:	2
11935	sizzl	2
11936	skeptic	10
11937	sketch	11
11938	sketchi	14
11939	ski	6
11940	skiff	10
11941	skill	11
11942	skillfulli	2
11943	skim	8
11944	skin	7
11945	skip	8
11946	skipper	5
11947	skirmish	1
11948	skirt	5
11949	skull	3
11950	sky	14
11951	skyscrap	4
11952	slab	15
11953	slade	7
11954	slai	12
11955	slain	10
11956	slam	58
11957	slant	2
11958	slap	3
11959	slash	4
11960	slat	1
11961	slate	6
11962	slater	2
11963	slaughterhous	1
11964	slava	1
11965	slavador	1
11966	slavica	1
11967	slavija	2
11968	slavish	1
11969	slavo	1
11970	slavoljub	1
11971	sledgehamm	3
11972	sleep	36
11973	sleepless	1
11974	sleight	1
11975	slender	1
11976	slenderest	1
11977	slept	8
11978	slice	10
11979	slid	2
11980	slide	3
11981	slight	6
11982	slightest	3
11983	slightli	27
11984	slim	10
11985	slime	1
11986	slip	30
11987	slippag	1
11988	sliver	2
11989	slm	2
11990	slobadon	1
11991	slobo	3
11992	slobodan	126
11993	slocomb	1
11994	slogan	12
11995	slope	2
11996	sloppi	5
11997	slouch	1
11998	slovakia	8
11999	slovakian	1
12000	slow	38
12001	slow-foot	1
12002	slow-mov	1
12003	slowdown	2
12004	slowest	2
12005	slowli	26
12006	slug	1
12007	sluggish	4
12008	slump	6
12009	slur	1
12010	smack	4
12011	small	208
12012	smaller	25
12013	smallest	2
12014	smaltz	1
12015	smart	2
12016	smarter	2
12017	smartest	1
12018	smartli	1
12019	smash	25
12020	smear	3
12021	smederevska	2
12022	smell	7
12023	smile	36
12024	smit	1
12025	smith	21
12026	smithvil	1
12027	smitten	1
12028	smog	2
12029	smoggiest	1
12030	smoke	26
12031	smokei	1
12032	smoker	1
12033	smokescreen	1
12034	smolder	1
12035	smolinski	1
12036	smooth	9
12037	smoothli	2
12038	smother	2
12039	smuggl	3
12040	snack	2
12041	snake	1
12042	snap	9
12043	snapper	1
12044	snappi	1
12045	snare	1
12046	snarl	1
12047	snatch	8
12048	sneak	3
12049	sneaker	1
12050	sneaker-clad	1
12051	sneet	1
12052	snif	3
12053	sniff	1
12054	sniffer	13
12055	snipe	1
12056	sniper	1
12057	snippet	2
12058	snitch	3
12059	snjezana	1
12060	snour	1
12061	snow	11
12062	snow-cov	1
12063	snowfal	1
12064	snowstorm	2
12065	snyder	1
12066	so	1
12067	so-cal	10
12068	soak	2
12069	soap	1
12070	soap-operat	1
12071	soar	7
12072	sob	3
12073	sober	2
12074	soccer	4
12075	social	33
12076	socialist	36
12077	societi	34
12078	sock	3
12079	socotra	2
12080	socti	1
12081	sod	1
12082	sofa	2
12083	soft	10
12084	soft-spoken	2
12085	soften	4
12086	softli	1
12087	softwar	7
12088	soglasiy	1
12089	soil	7
12090	sojourn	1
12091	solanki	1
12092	solari	1
12093	sold	19
12094	soldier	97
12095	sole	9
12096	solemn	4
12097	solemnli	1
12098	solicit	1
12099	solid	15
12100	solidar	6
12101	solidifi	2
12102	solidli	1
12103	solitari	2
12104	solitud	1
12105	solomon	1
12106	solorzano	2
12107	solut	14
12108	solv	6
12109	somali	2
12110	somali-born	1
12111	somalia	8
12112	somber	6
12113	somberli	2
12114	somebodi	22
12115	somedai	5
12116	someplac	1
12117	someth	1
12118	somewhat	9
12119	somo	1
12120	son	114
12121	son-in-law	3
12122	sonar	2
12123	song	3
12124	songwrit	3
12125	sonia	3
12126	sonni	1
12127	soon	94
12128	soon-to-b	1
12129	sooner	5
12130	sooooo	1
12131	soot	1
12132	sooti	1
12133	sop	1
12134	sophist	22
12135	sordid	1
12136	sore	8
12137	sorri	4
12138	sorrow	3
12139	sort	53
12140	sorti	1
12141	sosonati	7
12142	soto	3
12143	souc	1
12144	sought	50
12145	soul	4
12146	soumaila	1
12147	sound	56
12148	soundli	3
12149	soundproof	1
12150	soup	3
12151	soup-stirr	1
12152	sour	2
12153	sourc	93
12154	south	123
12155	south-centr	1
12156	south-east	1
12157	southeast	35
12158	southeastern	10
12159	southern	67
12160	southwest	19
12161	southwestern	6
12162	souvenir	2
12163	sovereign	2
12164	sovereignti	8
12165	soviet	29
12166	soviet-era	5
12167	soxon	1
12168	sp	2
12169	space	19
12170	spaciou	1
12171	spain	20
12172	span	6
12173	spangl	1
12174	spaniard	2
12175	spaniel	1
12176	spanish	13
12177	spanish-languag	3
12178	spanish-speak	6
12179	spare	9
12180	spark	18
12181	spasski	2
12182	spat	1
12183	spate	3
12184	speak	120
12185	speaker	19
12186	spear	8
12187	spearhead	3
12188	speci	1
12189	special	111
12190	specialist	21
12191	specif	55
12192	specifi	13
12193	spectacl	3
12194	spectacular	4
12195	spectat	7
12196	specter	3
12197	spectrum	1
12198	specul	44
12199	sped	4
12200	speech	62
12201	speed	31
12202	speedboat	1
12203	speedi	1
12204	speedskat	1
12205	spell	9
12206	spenc	3
12207	spencer	6
12208	spend	57
12209	spent	74
12210	sperl	2
12211	sphere	1
12212	spi	7
12213	spielberg	1
12214	spill	4
12215	spin	4
12216	spin-doctor	1
12217	spine	2
12218	spiral	4
12219	spire	1
12220	spirit	18
12221	spiritu	3
12222	spite	5
12223	splash	1
12224	splashdown	1
12225	splatter	1
12226	splint	1
12227	splinter	3
12228	splinz	1
12229	split	23
12230	spode	1
12231	spoil	10
12232	spoiler	3
12233	spoils:	1
12234	spokan	1
12235	spoke	76
12236	spoken	21
12237	spokesman	183
12238	spokesman:	1
12239	spokesmen	4
12240	spokeswoman	28
12241	sponsor	14
12242	sponsorship	2
12243	spontan	4
12244	spook	1
12245	sporad	1
12246	sport	59
12247	sportsmen	1
12248	spot	33
12249	spotlight	14
12250	spotti	6
12251	spous	7
12252	spragu	1
12253	sprai	6
12254	spraig	1
12255	sprain	7
12256	sprawl	8
12257	spread	53
12258	spree	2
12259	spring	28
12260	springfield	3
12261	sprinkl	2
12262	sprint	5
12263	sprout	2
12264	spruance-class	1
12265	sprung	2
12266	spun	1
12267	spur	5
12268	spy	62
12269	spy-1d	1
12270	spymast	19
12271	squabbl	1
12272	squad	23
12273	squadron	1
12274	squall	3
12275	squander	2
12276	squar	22
12277	squat	1
12278	squatter	3
12279	squeak	2
12280	squeamish	1
12281	squeez	7
12282	squirrel	2
12283	squish	1
12284	sr	3
12285	srdic	4
12286	srebrenica	1
12287	srpska	1
12288	stab	9
12289	stabenow	5
12290	stabil	43
12291	stabl	21
12292	stacei	1
12293	staci	1
12294	stack	8
12295	stadium	13
12296	staf	3
12297	staff	67
12298	staffer	2
12299	staffinr	1
12300	stafford	4
12301	stage	49
12302	stagger	7
12303	staggering:	2
12304	stai	148
12305	stain	3
12306	stained-glass	3
12307	stair	3
12308	stairwel	4
12309	stake	24
12310	stalem	4
12311	stalemate:	2
12312	stalin	2
12313	stalinist	1
12314	stalk	2
12315	stall	4
12316	stambol	2
12317	stambuk	1
12318	stamenkov	2
12319	stamina	1
12320	stammer	1
12321	stamped	4
12322	stanc	5
12323	stand	124
12324	stand-off	2
12325	standard	18
12326	standbi	1
12327	standing-room	2
12328	standoff	8
12329	standpoint	1
12330	standstil	6
12331	stanlei	4
12332	stapl	1
12333	star	32
12334	star-stud	1
12335	star-telegram	1
12336	stare	7
12337	stark	5
12338	starkli	1
12339	starr	1
12340	starrr	1
12341	start	160
12342	startl	2
12343	starv	1
12344	stash	1
12345	stasio	1
12346	stat	2
12347	state	576
12348	state-build	1
12349	state-control	4
12350	state-of-th	1
12351	state-of-the-art	2
12352	state-own	4
12353	state-run	25
12354	state-sponsor	6
12355	statehous	4
12356	stateless	1
12357	statement	104
12358	stateroom	1
12359	states:	1
12360	statesman	2
12361	statewid	5
12362	station	121
12363	station:	1
12364	stationeri	1
12365	statist	15
12366	statu	18
12367	statur	4
12368	statut	5
12369	staunch	2
12370	staunchest	2
12371	staunchli	2
12372	stead	1
12373	steadfast	1
12374	steadi	4
12375	steadili	4
12376	steal	27
12377	stealer	1
12378	stealth	1
12379	stealthi	1
12380	stealthier	1
12381	stealthili	1
12382	steam	6
12383	steami	1
12384	steel	28
12385	steel-entangl	1
12386	steenbuch	1
12387	steep	15
12388	steer	8
12389	stefan	1
12390	stefano	5
12391	stefanov	4
12392	steffi	1
12393	steinberg	1
12394	steindorff	1
12395	stell	1
12396	stellar	1
12397	stem	12
12398	stemmo	1
12399	stenberg	1
12400	stench	2
12401	step	135
12402	step-down	1
12403	stephani	1
12404	stephanopoulo	1
12405	stephen	7
12406	stepmoth	1
12407	steppingston	1
12408	stepson	1
12409	stereo	1
12410	sterl	3
12411	stern	13
12412	stern-fac	1
12413	sternavich	1
12414	sternli	2
12415	steskic	1
12416	stevan	3
12417	steve	10
12418	stevedor	1
12419	steven	3
12420	stevenson	4
12421	stew	1
12422	stewardship	4
12423	stewart	2
12424	stick	18
12425	sticker	2
12426	sticki	1
12427	stickier	4
12428	stiff	3
12429	stifl	2
12430	stigmat	1
12431	still-buri	1
12432	sting	1
12433	stipend	1
12434	stipul	4
12435	stir	14
12436	stirrup	1
12437	stitch	1
12438	stock	5
12439	stocki	1
12440	stockpil	5
12441	stoical	1
12442	stojanov	1
12443	stojiljikov	1
12444	stojiljkov	3
12445	stoke	4
12446	stoko	1
12447	stokov	1
12448	stole	25
12449	stolen	13
12450	stolt	1
12451	stomach	6
12452	stomach-churn	1
12453	stomp	1
12454	stone	18
12455	stonewal	1
12456	stoni	3
12457	stood	66
12458	stool	2
12459	stop	175
12460	stop-gap	1
12461	stopgap	1
12462	stopov	4
12463	stoppag	6
12464	stopper	1
12465	storag	3
12466	store	67
12467	stori	81
12468	stories:	2
12469	storm	46
12470	stormi	2
12471	story:	1
12472	storybook	1
12473	stosic	2
12474	stoutli	1
12475	stowag	1
12476	stoyan	1
12477	straddl	1
12478	strai	2
12479	straight	23
12480	straight-fac	1
12481	straight-set	1
12482	straighten	1
12483	straightforward	3
12484	straightforward:	1
12485	strain	4
12486	strait	2
12487	straition	1
12488	strakov	1
12489	strand	3
12490	strang	9
12491	stranger	6
12492	strangl	1
12493	stranglehold	1
12494	strateg	18
12495	strategeri	1
12496	strategi	20
12497	strategist	7
12498	straw	1
12499	streak	16
12500	stream	14
12501	streamlin	1
12502	stree	1
12503	street	176
12504	strength	18
12505	strengthen	27
12506	strenuous	1
12507	stress	33
12508	stretch	30
12509	stretcher	13
12510	strewn	3
12511	stricken	11
12512	strickland	2
12513	strict	5
12514	stricter	1
12515	strictli	7
12516	strictur	1
12517	strident	1
12518	strife	2
12519	strike	85
12520	strikebound	5
12521	strikebreak	3
12522	striker	12
12523	strikes:	2
12524	string	14
12525	stringent	2
12526	stringfellow	5
12527	strip	24
12528	stripe	3
12529	strive	7
12530	strode	1
12531	stroke	10
12532	stroll	1
12533	strom	1
12534	strong	92
12535	stronger	17
12536	strongest	10
12537	stronghold	27
12538	strongli	15
12539	strongman	8
12540	strongmen	1
12541	strother	1
12542	strove	1
12543	struck	45
12544	structur	19
12545	struggl	72
12546	stuart	1
12547	stubb	1
12548	stubborn	1
12549	stubbornli	1
12550	stuck	9
12551	student	53
12552	student-run	1
12553	studi	38
12554	studio	3
12555	stuf	1
12556	stuff	6
12557	stumbl	13
12558	stump	1
12559	stun	40
12560	stung	3
12561	stunningli	2
12562	stunt	2
12563	sturdi	1
12564	sturdier	1
12565	style	20
12566	stymi	1
12567	su	4
12568	suarez	3
12569	sub	21
12570	sub-saharan	3
12571	sub-standard	1
12572	subcommitte	2
12573	subcontin	3
12574	subdu	7
12575	subgroup	1
12576	subject	38
12577	subject:	1
12578	subjug	1
12579	submachin	2
12580	submarin	63
12581	submerg	5
12582	submers	3
12583	submit	25
12584	subordin	1
12585	subpoena	1
12586	subscrib	1
12587	subsequ	9
12588	subsid	4
12589	subsidi	1
12590	subsidiari	3
12591	subsist	1
12592	substanc	6
12593	substandard	1
12594	substanti	17
12595	substitut	4
12596	subterranean	1
12597	subtext	2
12598	subtl	1
12599	subtocnga	4
12600	suburb	26
12601	suburban	11
12602	subvers	3
12603	subvert	3
12604	subwai	1
12605	succe	20
12606	succeed	12
12607	succes-	1
12608	success	62
12609	success:	1
12610	successfulli	10
12611	successor	39
12612	succumb	2
12613	suchitepequez	5
12614	suck	1
12615	sudan	11
12616	sudanes	1
12617	sudden	20
12618	suddenli	17
12619	sue	7
12620	suez	18
12621	suffer	95
12622	suffici	16
12623	suffoc	4
12624	sugarcoat	1
12625	sugari	1
12626	suggest	94
12627	suharto	1
12628	suicid	129
12629	suit	36
12630	suitabl	5
12631	suitcas	5
12632	suitland	1
12633	sukiyaki	1
12634	sullivan	3
12635	sultan	6
12636	sultri	1
12637	sum	2
12638	summar	2
12639	summari	4
12640	summer	23
12641	summit	32
12642	summon	6
12643	sumner	1
12644	sun	22
12645	sun-herald	1
12646	sun-splash	1
12647	sunbak	1
12648	sunda	1
12649	sundai	201
12650	sunday:	1
12651	sunglass	2
12652	sunil	1
12653	sunk	7
12654	sunken	25
12655	sunni	4
12656	sunris	1
12657	sunset	4
12658	sunshin	1
12659	super	3
12660	superb	2
12661	superbl	2
12662	superfast	1
12663	superintend	1
12664	superior	4
12665	supermarket	6
12666	superpow	2
12667	superstructur	1
12668	supervis	12
12669	supervisor	6
12670	supplement	1
12671	suppli	55
12672	support	271
12673	supporters:	1
12674	suppos	19
12675	supposedli	4
12676	supposingli	1
12677	suppress	12
12678	suprem	47
12679	supremaci	2
12680	supremacist	1
12681	surat	3
12682	sure	105
12683	sure-bet	1
12684	surf	2
12685	surfac	28
12686	surface:	1
12687	surg	14
12688	surgeon	9
12689	surgeri	13
12690	surgic	3
12691	surnia	1
12692	surpass	5
12693	surplu	3
12694	surpris	52
12695	surprisingli	4
12696	surreal	4
12697	surrend	34
12698	surrog	5
12699	surround	61
12700	survei	26
12701	surveil	17
12702	surviv	100
12703	survivor	90
12704	survivor:	2
12705	survivors:	1
12706	susa	1
12707	susan	35
12708	susann	1
12709	suscept	2
12710	susi	3
12711	suspect	141
12712	suspected:	1
12713	suspend	25
12714	suspens	9
12715	suspici	13
12716	suspicion	35
12717	suspicion:	1
12718	sustain	13
12719	susten	1
12720	sutyagin	1
12721	svilanov	3
12722	swab	1
12723	swagger	1
12724	swai	17
12725	swallow	4
12726	swami	3
12727	swamimarayan	1
12728	swamp	1
12729	swan	3
12730	swap	6
12731	swarm	16
12732	swat	2
12733	swear	6
12734	swearing-in	5
12735	sweat	4
12736	sweat-soak	1
12737	sweater	3
12738	sweati	6
12739	swede	2
12740	sweden	5
12741	sweep	21
12742	sweet	3
12743	sweeten	1
12744	sweetheart	2
12745	swell	14
12746	swelter	1
12747	swenchoni	1
12748	swept	39
12749	swift	10
12750	swift:	1
12751	swiftli	5
12752	swim	5
12753	swing	5
12754	swipe	1
12755	swirl	2
12756	swiss	16
12757	swiss-bas	1
12758	switch	20
12759	switzerland	25
12760	swivel	1
12761	swollen	2
12762	swoon	1
12763	swoop	1
12764	sword	1
12765	swore	3
12766	sworn	29
12767	swung	1
12768	sydnei	10
12769	sylvest	1
12770	sylvia	1
12771	symbiones	4
12772	symbol	31
12773	symington	2
12774	symmetri	1
12775	sympath	2
12776	sympathet	8
12777	sympathi	8
12778	symphoni	1
12779	symptom	2
12780	sync	1
12781	syndic	1
12782	synonym	1
12783	syria	2
12784	syrian	6
12785	syrian-born	2
12786	syring	1
12787	system	13
12788	systemat	3
12789	t-shirt	9
12790	tabara	3
12791	tabl	18
12792	tableau	2
12793	tableaux	1
12794	tablecloth	2
12795	tabloid	2
12796	tabul	5
12797	tacitli	1
12798	tackl	4
12799	tacoma	1
12800	tactic	15
12801	tactician	2
12802	tadic	2
12803	taffeta	1
12804	tag	1
12805	taha	3
12806	taigon	1
12807	tailor	11
12808	tailspin	2
12809	taint	10
12810	taiwan	9
12811	taiwanes	2
12812	taiz	1
12813	take	141
12814	taken	128
12815	takeoff	1
12816	takeov	15
12817	taker	1
12818	takla	1
12819	talaja	2
12820	tale	5
12821	talent	8
12822	talib	1
12823	taliban	15
12824	talk	156
12825	talk-show	1
12826	talk:	1
12827	talker	1
12828	tall	8
12829	tallahasse	1
12830	taller	4
12831	talli	15
12832	tamarin	4
12833	tame	7
12834	tamil	1
12835	tamme	1
12836	tampa	4
12837	tamper	3
12838	tan	2
12839	tanang	1
12840	tanasugarin	1
12841	tanasugarn	3
12842	tandem	1
12843	tangl	11
12844	tanja	1
12845	tanjug	13
12846	tank	25
12847	tank-mount	1
12848	tanker	2
12849	tant	1
12850	tantal	1
12851	tantamount	1
12852	tantrum	1
12853	tanugu	1
12854	tanzania	37
12855	tap	9
12856	tape	20
12857	tar	2
12858	tarawa	2
12859	tardi	1
12860	target	67
12861	tariff	2
12862	tariq	2
12863	tarmac	12
12864	tarnish	2
12865	tarp	3
12866	tarpaulin	3
12867	task	43
12868	task:	1
12869	tass	1
12870	tast	5
12871	tatter	4
12872	taunt	1
12873	tawdri	1
12874	tawfiq	1
12875	tax	40
12876	tax-evas	1
12877	tax-sav	3
12878	tax-writ	1
12879	taxi	6
12880	taxpay	2
12881	taylor	2
12882	tdcj	14
12883	tea	9
12884	teach	8
12885	teacher	16
12886	team	119
12887	teammat	2
12888	teams:	2
12889	tear	72
12890	tear-ga	1
12891	tearga	4
12892	tech	1
12893	technic	24
12894	technician	15
12895	techniqu	4
12896	technocrat	1
12897	technolog	42
12898	technology-rel	1
12899	techsourc	2
12900	tecla	11
12901	ted	3
12902	teddi	1
12903	teem	3
12904	teen-ag	14
12905	teenag	4
12906	teepl	1
12907	teeter	2
12908	teeth	2
12909	tefb	1
12910	tegla	1
12911	tekla	2
12912	tel	4
12913	telar	1
12914	telecommun	2
12915	teleconfer	2
12916	telephon	72
12917	televis	170
12918	televisa	1
12919	televison	1
12920	tell	108
12921	teller	7
12922	tello	2
12923	temblor	13
12924	tempel	1
12925	temper	4
12926	temperatur	10
12927	tempestu	1
12928	templ	8
12929	templat	1
12930	tempo	1
12931	temporari	13
12932	temporarili	10
12933	ten	38
12934	ten-year	2
12935	tenabl	1
12936	tenac	1
12937	tenaci	1
12938	tenant	3
12939	tend	11
12940	tendenc	4
12941	tender	4
12942	tenet	2
12943	tenn	8
12944	tennesse	11
12945	tenni	39
12946	tens	18
12947	tension	25
12948	tent	39
12949	tent-dwel	3
12950	tentacl	1
12951	tenth	3
12952	tenur	9
12953	ter	1
12954	term	111
12955	term-end	1
12956	term-limit	1
12957	termer	1
12958	termin	15
12959	tern	1
12960	terr	1
12961	terrain	2
12962	terrel	1
12963	terrenc	12
12964	terri	6
12965	terribl	28
12966	terribly	1
12967	terrif	2
12968	terrifi	9
12969	terrifng	1
12970	terrifyingli	1
12971	territori	22
12972	terror	102
12973	terrorist	203
12974	test	42
12975	testament	2
12976	testifi	25
12977	testili	1
12978	testimoni	19
12979	testu	1
12980	testud	9
12981	tethani	1
12982	tether	2
12983	tex	1
12984	texa	95
12985	texas-wyom	1
12986	text	6
12987	textbook	1
12988	textil	4
12989	tfor	1
12990	thaan	1
12991	thabo	3
12992	thaci	1
12993	thadani	1
12994	thaerz	1
12995	thahn	1
12996	thailand	2
12997	thakkar	4
12998	thakur	1
12999	thanh	2
13000	thank	117
13001	thanksgiv	2
13002	thankyou	1
13003	that:	2
13004	thatcher	1
13005	thaul	1
13006	theater	5
13007	theater-in-the-round	2
13008	thee-year	1
13009	theft	2
13010	their	2
13011	them:	3
13012	theme	7
13013	then-agricultur	2
13014	then-missouri	1
13015	then-presid	1
13016	then-u	3
13017	theodor	2
13018	theolog	2
13019	theoret	3
13020	theori	29
13021	theoriz	4
13022	thepaid	1
13023	therapy:	1
13024	theresa	1
13025	thermomet	2
13026	thescap	1
13027	thesi	1
13028	thevenot	2
13029	thick	1
13030	thicker	3
13031	thief	1
13032	thiessen	1
13033	thiev	6
13034	thigh	2
13035	thin	4
13036	thing	104
13037	thing99	1
13038	think	227
13039	thinker	1
13040	thinner	1
13041	third	2
13042	third-highest	1
13043	third-largest	5
13044	third-parti	2
13045	third-plac	1
13046	third-round	1
13047	third-seed	9
13048	third-set	3
13049	third-world	1
13050	thirdli	1
13051	thirteen	3
13052	thirti	1
13053	thirty-nin	6
13054	thirty-thre	4
13055	thirtysometh	1
13056	thoma	18
13057	thompson	4
13058	thorbjoern	2
13059	thorbjorn	1
13060	thorn	1
13061	thornburgh	1
13062	thornel	1
13063	thorni	1
13064	thorough	3
13065	thoroughfar	3
13066	thoroughli	1
13067	though:	2
13068	thought	106
13069	thousand	156
13070	thrash	1
13071	thread	4
13072	threadbar	1
13073	threat	104
13074	threatcon	1
13075	threaten	46
13076	three-dai	16
13077	three-fifth	1
13078	three-fourth	1
13079	three-gam	1
13080	three-hour	4
13081	three-judg	1
13082	three-person	1
13083	three-quart	2
13084	three-room	3
13085	three-set	8
13086	three-sett	2
13087	three-stori	6
13088	three-tim	2
13089	three-wai	1
13090	three-year-old	1
13091	threshold	2
13092	threw	16
13093	thrill	5
13094	thriller	1
13095	thrive	6
13096	throat	2
13097	throne	2
13098	throng	6
13099	throw	17
13100	throwback	2
13101	thrower	1
13102	thrown	24
13103	thrust	3
13104	thug	5
13105	thugocraci	2
13106	thumb	3
13107	thumbs-up	3
13108	thunder	3
13109	thunderbird	1
13110	thurmond	1
13111	thursdai	218
13112	thursday:	1
13113	thuzz	1
13114	thwart	5
13115	ti	78
13116	tia	2
13117	tiananmen	1
13118	tibet	2
13119	tick	3
13120	ticket	10
13121	tidal	2
13122	tide	7
13123	tie	21
13124	tie-break	6
13125	tiebreak	10
13126	tien	1
13127	tiffani	2
13128	tight	22
13129	tighten	11
13130	tighter	3
13131	tightest	2
13132	tightli	4
13133	tijan	3
13134	tilak	1
13135	tile	2
13136	tilt	5
13137	tilt-rotor	1
13138	time	15
13139	timelin	4
13140	timet	4
13141	timid	2
13142	timism	1
13143	timo	1
13144	timocka	1
13145	timothi	4
13146	tin	1
13147	tini	23
13148	tinker	1
13149	tinkl	1
13150	tiot	1
13151	tip	55
13152	tipper	2
13153	tipster	1
13154	tire	29
13155	tireless	1
13156	tirelessli	2
13157	tirm	2
13158	titl	50
13159	titleist	1
13160	titlist	2
13161	tito	6
13162	tnt	7
13163	to-	1
13164	toadi	1
13165	toast	3
13166	toastst	1
13167	tobacco	3
13168	tod	2
13169	todai	316
13170	todd	21
13171	toddler	3
13172	toe	3
13173	togo	1
13174	tohouri	1
13175	toi	4
13176	toietnam	1
13177	toilet	3
